"","round","loan_id","p1_dec","p2_dec","p3_dec","p4_dec","p5_dec","p6_dec","p7_dec","p8_dec","p9_dec","p10_dec"
"272",6,"1455164","Reject","Reject","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"273",6,"1490388","Reject","Approve","Approve","Reject","Reject","Reject",NA,NA,NA,NA
"274",6,"1524519","Reject","Reject",NA,"Reject","Reject","Reject",NA,NA,NA,NA
"275",6,"1696113","Approve","Approve","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"276",6,"2080779","Reject","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"277",6,"2218127","Approve","Reject",NA,"Approve","Reject","Approve",NA,NA,NA,NA
"278",6,"2794783","Reject","Approve",NA,"Reject","Approve","Approve",NA,NA,NA,NA
"279",6,"2826396","Reject","Reject",NA,"Reject","Reject","Reject",NA,NA,NA,NA
"280",6,"3236738","Approve","Approve",NA,"Approve","Reject","Approve",NA,NA,NA,NA
"281",7,"1295173","Approve","Approve","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"282",7,"1343768","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"283",7,"1416499","Approve","Reject","Reject","Approve","Approve","Approve",NA,NA,NA,NA
"284",7,"1446006","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"285",7,"1549100","Reject","Approve","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"286",7,"1593711","Approve","Reject","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"287",7,"1608526","Approve","Approve","Reject","Approve","Approve","Reject",NA,NA,NA,NA
"288",7,"2089773","Approve","Reject","Approve","Reject","Reject","Approve",NA,NA,NA,NA
"289",7,"2217033","Reject","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"290",7,"3296223","Approve","Approve","Reject","Approve","Approve","Reject",NA,NA,NA,NA
"291",8,"1313388","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"292",8,"1318579","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"293",8,"1428542","Reject","Reject","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"294",8,"1510063","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"295",8,"1544722","Approve","Approve",NA,"Approve","Approve","Reject",NA,NA,NA,NA
"296",8,"1559058","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"297",8,"1618903","Approve","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"298",8,"2380536","Approve","Approve","Approve","Approve","Reject","Approve",NA,NA,NA,NA
"299",8,"3054732","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"300",8,"3064937","Approve","Approve","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"301",9,"1475237","Reject","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"302",9,"1600579","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"303",9,"1678556","Approve","Reject","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"304",9,"2373125","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"305",9,"2635597","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"306",9,"2644637","Approve","Approve","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"307",9,"2836821","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"308",9,"2974581","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"309",9,"3056242","Reject","Reject","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"310",9,"3239736","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"311",10,"1290462","Reject","Reject","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"312",10,"1328666","Approve","Approve","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"313",10,"1427798","Approve","Approve","Approve","Approve","Reject","Approve",NA,NA,NA,NA
"314",10,"1454668","Approve","Approve","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"315",10,"1508682","Approve","Approve","Reject","Approve","Approve","Approve",NA,NA,NA,NA
"316",10,"1528128","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"317",10,"1592631","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"318",10,"2604708","Approve","Approve","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"319",10,"3151559","Approve","Approve","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"320",10,"3157428","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"321",1,"1334596","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"322",1,"1438057","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"323",1,"1439480","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"324",1,"1470353","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"325",1,"1529432","Reject","Reject","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"326",1,"1534293","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"327",1,"1625556","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"328",1,"1857226","Approve","Approve","Approve",NA,"Approve","Reject",NA,NA,NA,NA
"329",1,"3158207","Reject","Approve","Approve","Reject","Approve","Reject",NA,NA,NA,NA
"330",1,"3235599","Approve","Approve","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"331",2,"1227988","Approve","Reject","Reject","Reject","Approve","Approve",NA,NA,NA,NA
"332",2,"1325134","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"333",2,"1347768","Approve","Approve","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"334",2,"1508178","Approve","Approve","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"335",2,"1531491","Approve","Reject","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"336",2,"1683861","Reject","Reject","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"337",2,"1866661","Approve","Reject","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"338",2,"2175528","Reject","Reject","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"339",2,"3105437","Approve","Approve","Reject","Reject","Approve","Approve",NA,NA,NA,NA
"340",2,"3154245","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"341",3,"1358466","Reject","Reject","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"342",3,"1530989","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"343",3,"2215152","Reject","Reject","Approve","Reject","Reject","Reject",NA,NA,NA,NA
"344",3,"2485187","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"345",3,"2794690","Approve","Approve","Approve","Approve","Reject","Approve",NA,NA,NA,NA
"346",3,"3155053","Reject","Reject","Reject","Reject","Approve","Approve",NA,NA,NA,NA
"347",3,"3155823","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"348",3,"3161131","Approve","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"349",3,"3198607","Reject","Reject","Approve","Reject","Approve","Reject",NA,NA,NA,NA
"350",3,"3235332","Approve","Approve","Approve","Reject","Approve","Reject",NA,NA,NA,NA
"351",4,"1282615","Approve","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"352",4,"1677240","Approve","Approve","Approve","Approve","Reject","Approve",NA,NA,NA,NA
"353",4,"1687729","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA,NA
"354",4,"1816424","Approve","Approve","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"355",4,"2309025","Reject","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"356",4,"2383131","Approve","Approve","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"357",4,"2836762","Reject","Reject","Approve","Reject","Reject","Reject",NA,NA,NA,NA
"358",4,"2905247","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA,NA
"359",4,"3159632","Reject","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"360",4,"3163768","Approve","Approve","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"361",5,"1286676","Reject","Reject","Reject","Reject","Approve","Approve",NA,NA,NA,NA
"362",5,"1411592","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"363",5,"1468720","Approve","Reject","Reject","Approve","Approve","Approve",NA,NA,NA,NA
"364",5,"1587833","Approve","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"365",5,"1600462","Approve","Reject","Approve","Reject","Approve","Reject",NA,NA,NA,NA
"366",5,"1608199","Approve","Reject","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"367",5,"2365728","Reject","Reject","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"368",5,"2379196","Approve","Approve","Reject","Reject","Approve","Approve",NA,NA,NA,NA
"369",5,"3160349","Reject","Approve","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"370",5,"3265412","Reject","Approve","Approve","Reject","Reject","Reject",NA,NA,NA,NA
"371",6,"1403327","Reject","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"372",6,"1455164","Approve","Approve","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"373",6,"1490388","Reject","Approve","Reject","Approve","Approve","Approve",NA,NA,NA,NA
"374",6,"1524519","Approve","Reject","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"375",6,"1696113","Approve","Approve","Reject","Reject","Approve","Approve",NA,NA,NA,NA
"376",6,"2080779","Approve","Reject","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"377",6,"2218127","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"378",6,"2794783","Approve","Reject","Reject","Approve","Approve","Approve",NA,NA,NA,NA
"379",6,"2826396","Approve","Reject","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"380",6,"3236738","Approve","Reject","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"381",7,"1295173","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"382",7,"1343768","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"383",7,"1416499","Reject","Approve","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"384",7,"1446006","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"385",7,"1549100","Approve","Reject","Reject","Reject","Approve","Approve",NA,NA,NA,NA
"386",7,"1593711","Reject","Reject","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"387",7,"1608526","Approve","Reject","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"388",7,"2089773","Reject","Approve","Reject","Approve","Approve","Approve",NA,NA,NA,NA
"389",7,"2217033","Approve","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"390",7,"3296223","Approve","Approve","Approve","Approve","Reject","Approve",NA,NA,NA,NA
"391",8,"1313388","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"392",8,"1318579","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"393",8,"1428542","Reject","Reject","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"394",8,"1510063","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"395",8,"1544722","Approve","Reject","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"396",8,"1559058","Approve","Approve","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"397",8,"1618903","Approve","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"398",8,"2380536","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"399",8,"3054732","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"400",8,"3064937","Approve","Reject","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"401",9,"1475237","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"402",9,"1600579","Approve","Approve","Reject","Approve","Approve","Approve",NA,NA,NA,NA
"403",9,"1678556","Reject","Approve","Reject","Reject","Approve","Approve",NA,NA,NA,NA
"404",9,"2373125","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"405",9,"2635597","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"406",9,"2644637","Approve","Approve","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"407",9,"2836821","Approve","Reject","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"408",9,"2974581","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"409",9,"3056242","Approve","Reject","Approve","Approve","Approve","Reject",NA,NA,NA,NA
"410",9,"3239736","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"411",10,"1290462","Reject","Approve","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"412",10,"1328666","Approve","Approve","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"413",10,"1427798","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"414",10,"1454668","Approve","Reject","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"415",10,"1508682","Reject","Approve","Reject","Reject","Approve","Approve",NA,NA,NA,NA
"416",10,"1528128","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"417",10,"1592631","Approve","Reject","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"418",10,"2604708","Approve","Reject","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"419",10,"3151559","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"420",10,"3157428","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"421",1,"1334596","Reject","Reject",NA,"Reject","Reject","Approve",NA,NA,NA,NA
"422",1,"1438057","Approve","Reject",NA,"Reject","Reject","Approve",NA,NA,NA,NA
"423",1,"1439480","Approve","Approve",NA,"Approve","Approve","Approve",NA,NA,NA,NA
"424",1,"1470353","Reject","Reject",NA,"Reject","Reject","Approve",NA,NA,NA,NA
"425",1,"1529432","Reject","Reject",NA,"Reject","Reject","Approve",NA,NA,NA,NA
"426",1,"1534293","Approve","Approve","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"427",1,"1625556","Reject","Approve","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"428",1,"1857226","Approve","Reject",NA,"Approve","Reject","Approve",NA,NA,NA,NA
"429",1,"3158207","Reject","Reject","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"430",1,"3235599","Reject","Reject",NA,"Approve","Reject","Approve",NA,NA,NA,NA
"431",2,"1227988","Approve","Approve","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"432",2,"1325134","Approve","Approve","Approve","Approve","Approve","Approve",NA,NA,NA,NA
"433",2,"1347768","Reject","Approve","Approve","Approve","Reject","Approve",NA,NA,NA,NA
"434",2,"1508178","Reject","Approve","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"435",2,"1531491","Approve","Approve","Approve","Approve","Reject","Approve",NA,NA,NA,NA
"436",2,"1683861","Reject","Reject","Reject","Reject","Approve","Reject",NA,NA,NA,NA
"437",2,"1866661","Reject","Approve","Approve","Reject","Approve","Approve",NA,NA,NA,NA
"438",2,"2175528","Reject","Reject","Reject","Reject","Approve","Approve",NA,NA,NA,NA
"439",2,"3105437","Reject","Approve","Approve","Reject","Reject","Approve",NA,NA,NA,NA
"440",2,"3154245","Approve","Approve","Reject","Approve","Approve","Approve",NA,NA,NA,NA
"441",3,"1358466","Approve","Approve","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"442",3,"1530989","Approve","Reject","Approve","Reject","Reject","Reject",NA,NA,NA,NA
"443",3,"2215152","Reject","Approve","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"444",3,"2485187","Approve","Approve","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"445",3,"2794690","Approve","Approve","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"446",3,"3155053","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"447",3,"3155823","Approve","Approve","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"448",3,"3161131","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"449",3,"3198607","Approve","Approve","Approve","Reject","Reject","Reject",NA,NA,NA,NA
"450",3,"3235332","Reject","Approve","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"451",4,"1282615","Reject","Reject","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"452",4,"1677240","Approve","Approve","Approve","Reject","Reject","Reject",NA,NA,NA,NA
"453",4,"1687729","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"454",4,"1816424","Reject","Reject","Approve","Reject","Reject","Reject",NA,NA,NA,NA
"455",4,"2309025","Reject","Approve","Approve","Reject","Reject","Reject",NA,NA,NA,NA
"456",4,"2383131","Reject","Approve","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"457",4,"2836762","Reject","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"458",4,"2905247","Approve","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"459",4,"3159632","Approve","Approve","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"460",4,"3163768","Approve","Approve","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"461",5,"1286676","Reject","Approve","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"462",5,"1411592","Approve","Approve","Approve","Approve","Reject","Approve",NA,NA,NA,NA
"463",5,"1468720","Approve","Approve","Approve","Approve","Reject","Approve",NA,NA,NA,NA
"464",5,"1587833","Approve","Approve","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"465",5,"1600462","Approve","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"466",5,"1608199","Approve","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"467",5,"2365728","Approve","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"468",5,"2379196","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"469",5,"3160349","Reject","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"470",5,"3265412","Reject","Approve","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"471",6,"1403327","Reject","Approve","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"472",6,"1455164","Approve","Approve","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"473",6,"1490388","Reject","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"474",6,"1524519","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"475",6,"1696113","Approve","Approve","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"476",6,"2080779","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"477",6,"2218127","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"478",6,"2794783","Approve","Reject","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"479",6,"2826396","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"480",6,"3236738","Approve","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"481",7,"1295173","Approve","Approve","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"482",7,"1343768","Approve","Approve","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"483",7,"1416499","Approve","Approve","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"484",7,"1446006","Approve","Approve","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"485",7,"1549100","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"486",7,"1593711","Reject","Approve","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"487",7,"1608526","Approve","Approve","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"488",7,"2089773","Reject","Approve","Approve","Reject","Reject","Reject",NA,NA,NA,NA
"489",7,"2217033","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"490",7,"3296223","Approve","Approve","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"491",8,"1313388","Approve","Approve","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"492",8,"1318579","Approve","Approve","Approve","Approve","Reject","Approve",NA,NA,NA,NA
"493",8,"1428542","Reject","Approve","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"494",8,"1510063","Reject","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"495",8,"1544722","Approve","Reject","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"496",8,"1559058","Approve","Approve","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"497",8,"1618903","Reject","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"498",8,"2380536","Approve","Reject","Approve","Approve","Reject","Approve",NA,NA,NA,NA
"499",8,"3054732","Approve","Approve","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"500",8,"3064937","Approve","Approve","Approve","Reject","Reject","Reject",NA,NA,NA,NA
"501",9,"1475237","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"502",9,"1600579","Approve","Approve","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"503",9,"1678556","Reject","Reject","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"504",9,"2373125","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"505",9,"2635597","Approve","Approve","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"506",9,"2644637","Approve","Approve","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"507",9,"2836821","Approve","Approve","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"508",9,"2974581","Approve","Approve","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"509",9,"3056242","Reject","Reject","Reject","Reject","Reject","Approve",NA,NA,NA,NA
"510",9,"3239736","Approve","Approve","Approve","Approve","Reject","Reject",NA,NA,NA,NA
"511",10,"1290462","Reject","Approve","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"512",10,"1328666","Approve","Approve","Approve","Approve","Reject","Approve",NA,NA,NA,NA
"513",10,"1427798","Approve","Approve","Approve","Reject","Reject","Approve",NA,NA,NA,NA
"514",10,"1454668","Approve","Approve","Approve","Approve","Reject","Approve",NA,NA,NA,NA
"515",10,"1508682","Reject","Reject","Reject","Approve","Reject","Reject",NA,NA,NA,NA
"516",10,"1528128","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA,NA,NA
"517",10,"1592631","Approve","Approve","Approve","Reject","Reject","Approve",NA,NA,NA,NA
"518",10,"2604708","Approve","Approve","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"519",10,"3151559","Approve","Approve","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"520",10,"3157428","Approve","Approve","Reject","Approve","Reject","Approve",NA,NA,NA,NA
"521",1,"1334596","Reject","Reject","Approve","Reject","Reject","Approve","Reject","Reject",NA,NA
"522",1,"1438057","Reject","Reject","Reject","Reject","Reject","Approve","Reject","Reject",NA,NA
"523",1,"1439480","Approve","Approve","Reject","Approve","Approve","Approve","Approve","Approve",NA,NA
"524",1,"1470353","Reject","Reject","Approve","Reject","Reject","Approve","Reject","Reject",NA,NA
"525",1,"1529432","Approve","Reject","Reject","Reject","Reject","Reject","Reject","Reject",NA,NA
"526",1,"1534293","Approve","Approve","Approve","Approve","Approve","Reject","Reject","Approve",NA,NA
"527",1,"1625556","Reject","Reject","Approve","Reject","Reject","Reject","Approve","Reject",NA,NA
"528",1,"1857226","Approve","Reject","Reject","Approve","Reject","Approve","Reject","Reject",NA,NA
